"text";"created";"screenName"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:11;"sadiebxnny"
"RT @SantosFC: A inspira<e7><e3>o de qualquer jogada existente no futebol <U+0001F451> https://t.co/zwUMgamHTf";2019-12-19 01:28:11;"LuanRickesley"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:28:06;"_sthvyson7_"
"RT @ge_fla: Dono da bola, Diego distribui presentes e volta a ser decisivo com a 10 do Flamengo https://t.co/zmVTGvGM79";2019-12-19 01:28:05;"rockerstar"
"@essediafoilouco Claro que, acho o Pel<e9> um divisor de <e1>guas. O Futebol <e9> dividido em antes de Pel<e9> e P<f3>s Pel<e9>. Fato<U+0085> https://t.co/HcAGSLyQxf";2019-12-19 01:28:05;"Alan_Ruffino"
"\"RT @notavel: De tempos em tempos um jogador se rebela contra essas praxes no futebol e informa ao staff: \\"Eu vou jogar aqui mesmo, amigo. A<U+0085>\"";2019-12-19 01:28:01;"_dalua4"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:27:59;"Gabrielbra2022"
"RT @edu_rvm: Don Diego Ribas. O cara que foi humilhado e execrado por 80% da torcida e em nenhum momento deixou de trabalhar. O cara que de<U+0085>";2019-12-19 01:27:57;"clacnt"
"@TheGobbi Van Dijk t<e1> direto parando a elite do futebol europeu, at<e9> parece que vai ter problema com timeco";2019-12-19 01:27:55;"tmonteiroalves"
"Sobre contrata<e7><f5>es, a ordem , novamente, <e9> segurar. Jogadores que viriam podem n<e3>o vir mais. E virem outros. E melh<U+0085> https://t.co/GGnrjTk2tW";2019-12-19 01:27:55;"rodrigosviana"
"@donfiori1 @eucaioviana @aquafharyus @heitorcandid0 @futebol_info @flumifogodagama Mas ele t<e1> indo jogar a libertad<U+0085> https://t.co/lD3uYcr0C7";2019-12-19 01:27:55;"mariofla95"
"RT @SantosFC: A inspira<e7><e3>o de qualquer jogada existente no futebol <U+0001F451> https://t.co/zwUMgamHTf";2019-12-19 01:27:33;"a_d_r_e_w_h_a_r"
"\"RT @blogrenatonunes: Arboleda mostrou que n<e3>o respeita o tamanho do S<e3>o Paulo futebol clube. 

Lament<e1>vel, falta de respeito.

As \\"cochilad<U+0085>\"";2019-12-19 01:27:33;"Trouxailudida"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:27:27;"JooVictorVasc15"
"@joaopberigo @heitorcandid0 @JanderCosta_ @RayoDrygo @donfiori1 @futebol_info UE s<f3> foi reconhecido como Brasileiro<U+0085> https://t.co/38emM0CWjC";2019-12-19 01:27:24;"MisterFla_1895"
"RT @mateusduque: Imaginem um trabalhador brasileiro, que acorda <e0>s 5h30 pra pegar 2 bus<e3>o at<e9> o trabalho, correndo risco de ser assaltado,<U+0085>";2019-12-19 01:27:24;"diasmauriciio"
"@infocam13 O Galo <e9> ajudado o tempo todo por grandes empres<e1>rios,ou acha que sem eles ir<ed>amos ter um est<e1>dio,a dire<U+0085> https://t.co/M91Tbdz4FF";2019-12-19 01:27:20;"CarlosH70853257"
"RT @globoesporters: Jean Pyerre visita crian<e7>as com c<e2>ncer e distribui presentes em hospital de Porto Alegre =&gt; https://t.co/19yv0N2BHx htt<U+0085>";2019-12-19 01:27:20;"_tricolor1903"
